Date,Rolling variance
2022-11-14,2351986.9326023213
2022-11-15,2557364.222075711
2022-11-16,2781496.86976256
2022-11-17,2988671.2873788495
2022-11-18,3181052.13065614
2022-11-19,3358526.416569873
2022-11-20,3589404.476549246
2022-11-21,3894109.8981438125
2022-11-22,4079877.4737042137
2022-11-23,4192283.11790066
2022-11-24,4221218.762789238
2022-11-25,4131907.7604733347
2022-11-26,4087570.3135326914
2022-11-27,3959891.130224018
2022-11-28,3772733.6527893906
2022-11-29,3553454.9070276935
2022-11-30,3283629.396836921
2022-12-01,2996349.0780033986
2022-12-02,2743963.8867360163
2022-12-03,2463210.2270108727
2022-12-04,1927271.0090228044
2022-12-05,1314269.2425946202
2022-12-06,764308.282878729
2022-12-07,266536.6421316475
2022-12-08,161138.20219403284
2022-12-09,142923.2075637551
2022-12-10,123127.70886590777
2022-12-11,124788.9927561798
2022-12-12,132378.7450978572
2022-12-13,162333.5400619313
2022-12-14,196192.42899450794
2022-12-15,205792.56029853027
2022-12-16,206071.25927315644
2022-12-17,205309.7227236103
2022-12-18,204816.20548978727
2022-12-19,209833.70838498362
2022-12-20,199245.16395670213
2022-12-21,158466.15279383407
2022-12-22,141054.3088344411
2022-12-23,138303.767946637
2022-12-24,134964.48570507343
2022-12-25,129387.21206743695
2022-12-26,121363.55899861935
2022-12-27,114245.72299758824
2022-12-28,100725.54900629936
2022-12-29,94805.75933993468
2022-12-30,98196.54445683559
2022-12-31,103947.13510543629
2023-01-01,106646.39318418647
2023-01-02,108640.28470664044
2023-01-03,109061.8287063784
2023-01-04,108987.43803229157
2023-01-05,107944.51925881016
2023-01-06,107939.05371638903
2023-01-07,104168.70946311581
2023-01-08,103532.54685503738
2023-01-09,104793.94100697758
2023-01-10,113651.22815170354
2023-01-11,146457.00660025483
2023-01-12,249843.16916914712
2023-01-13,518678.44584649854
2023-01-14,1035365.124726076
2023-01-15,1484191.1227496066
2023-01-16,1970543.7523633859
2023-01-17,2408822.321990474
2023-01-18,2673566.761548287
2023-01-19,3018172.1702245376
2023-01-20,3736783.4776791125
2023-01-21,4408867.375208762
2023-01-22,4978931.2762418315
2023-01-23,5536258.924797943
2023-01-24,5927010.765264439
2023-01-25,6379057.835815058
2023-01-26,6686179.648694951
2023-01-27,6880509.107799757
2023-01-28,6985189.298219369
2023-01-29,7164949.778428613
2023-01-30,7010568.59948261
2023-01-31,6839482.992929565
2023-02-01,6702315.561187196
2023-02-02,6400929.088033114
2023-02-03,6043931.414001119
2023-02-04,5561958.997740301
2023-02-05,4976177.605896683
2023-02-06,4292464.090394953
2023-02-07,3616689.9081994775
2023-02-08,2865899.9578381274
